id,name
pole/41894,POL:PPOLE:C530111
pole/41046,POL:FPOLE::7754397
st_struct_pedestal/69112,PED:CPM:C538019
mywcom_route_junction/21055,SPJCT:SPJCT:C541761
building/50278,BUILD:BUS::12616204
st_struct_vault/2440,VAULT:MH-T:C531041
st_struct_buried_splice_location/2610,CLOSR:BSCLS:C548560
st_struct_pedestal/70134,PED:SST:C528506
st_struct_pedestal/69845,PED:JTPED:C531205
st_struct_pedestal/67895,PED:CPM::9598300
tower/477,TOWER:TOWER:C557042
mywcom_route_junction/21864,SPJCT:SPJCT::8344494
st_struct_pedestal/68878,PED:JSPED:C544761
pole/42589,POL:PPOLE:C521108
pole/40665,POL:PPOLE:C532736
st_struct_pedestal/69064,PED:CPM:C531443
st_struct_pedestal/67365,PED:JSPED:C547531
building/50787,BUILD:SDU:C529079
building/49923,BUILD:SDU:C538495
mywcom_route_junction/20934,SPJCT:SPJCT::13132702
st_struct_pedestal/67270,PED:JSPED:C536320
st_struct_buried_splice_location/2687,CLOSR:BSCLS:C548606
building/51251,BUILD:SDU:C533337
mywcom_route_junction/21706,SPJCT:SPJCT:C548610
pole/40485,POL:PPOLE:C539864
st_struct_pedestal/69396,PED:SST::8185114
st_struct_pedestal/69137,PED:SST:C573856
pole/40926,POL:PPOLE:C539004
st_struct_pedestal/68915,PED:CPM:C543258
building/50609,BUILD:BUS:C544133
anchors/10431,ANCH:JOINT:C46844
building/50036,BUILD:SDU:C535847
pole/42140,POL:PPOLE:C536281
st_struct_pedestal/69265,PED:JTPED:C546464
st_struct_pedestal/68170,PED:JUPED::8488494
st_struct_buried_splice_location/2726,CLOSR:BSCLS:C542112
st_struct_pedestal/67145,PED:JSPED:C540764
pole/41945,POL:FPOLE::12673181
building/49245,BUILD:SEB:C542317
anchors/10460,ANCH:JOINT:C47295
st_struct_pedestal/69094,PED:JTPED:C546474
pole/41158,POL:PPOLE::7750885
building/50733,BUILD:BUS:C536530
building/50648,BUILD:SDU:C539323
st_struct_pedestal/69351,PED:CPM:C541236
building/48877,BUILD:BUS:C532952
pole/42748,POL:PPOLE:C528241
st_struct_pedestal/69606,PED:JUPED::9907467
pole/41719,POL:PPOLE:C532582
st_struct_pedestal/70714,PED:SST:C533053
st_struct_pedestal/70662,PED:SST::9698765
st_struct_pedestal/69231,PED:SST:C550261
st_struct_pedestal/67998,PED:SST:C529477
st_struct_pedestal/69648,PED:JSPED:C535325
pole/42727,POL:FPOLE::7754400
pole/40997,POL:PPOLE:C524207
pole/41440,POL:PPOLE:C530393
st_struct_pedestal/69287,PED:CPM:C528173
building/49189,BUILD:BUS:C541885
pole/41937,POL:PPOLE:C536315
mywcom_route_junction/21670,SPJCT:SPJCT::9773053
st_struct_pedestal/68696,PED:JTPED:C547551
st_struct_pedestal/68902,PED:SST:C532990
st_struct_pedestal/67526,PED:FPED::10335580
st_struct_pedestal/68463,PED:JSPED:C535466
pole/42543,POL:PPOLE:C529876
pole/42077,POL:PPOLE:C523919
pole/40590,POL:PPOLE:C535487
mywcom_route_junction/21347,SPJCT:SPJCT:C573843
st_struct_pedestal/68131,PED:CPM:C535019
mywcom_route_junction/21173,SPJCT:SPJCT:C546348
