id,name,in_structure,out_structure
oh_route/93487,OSP:MESS:C647562,pole/54198,pole/52747
oh_route/93488,OSP:MESS:C646390,pole/53465,pole/54558
oh_route/93489,OSP:MESS:C705003,pole/52722,pole/54258
oh_route/93490,OSP:MESS:C636840,pole/53820,pole/52505
oh_route/93491,OSP:MESS:C641810,pole/54107,pole/53157
oh_route/93492,OSP:MESS::8169785,pole/53144,pole/53903
oh_route/93493,OSP:MESS:C650927,pole/52608,building/68585
oh_route/93494,OSP:MESS::8169425,pole/53150,pole/53163
oh_route/93495,OSP:MESS:C653834,pole/54520,pole/53481
oh_route/93496,OSP:MESS:C649769,pole/54525,pole/53921
oh_route/93497,OSP:MESS:C640746,pole/53323,pole/53201
oh_route/93498,OSP:MESS:C637373,pole/53740,pole/53695
oh_route/93499,OSP:MESS:C662724,pole/53955,pole/54436
oh_route/93500,OSP:MESS::8152824,pole/53611,pole/52624
oh_route/93501,OSP:MESS:C644544,pole/53489,pole/54555
oh_route/93502,OSP:MESS:C647612,pole/53156,pole/53379
oh_route/93503,OSP:MESS:C655091,pole/53375,pole/54081
oh_route/93504,OSP:MESS:C638871,pole/53043,pole/54537
oh_route/93505,OSP:MESS:C666395,pole/54260,pole/53782
oh_route/93506,OSP:MESS::9309947,pole/52895,building/67472
oh_route/93507,OSP:MESS::8163050,pole/54476,pole/53275
oh_route/93508,OSP:MESS:C651710,pole/52515,building/67612
oh_route/93509,OSP:MESS::8097758,pole/53464,mywcom_route_junction/28106
oh_route/93510,OSP:MESS:C652731,pole/54566,pole/52366
oh_route/93511,OSP:MESS:C640645,pole/54356,pole/53171
oh_route/93512,OSP:MESS:C641804,pole/53625,pole/53047
oh_route/93513,OSP:MESS::8148938,pole/52890,mywcom_route_junction/27732
oh_route/93514,OSP:MESS:C666334,pole/53146,pole/54102
oh_route/93515,OSP:MESS::8079812,pole/52747,pole/53632
oh_route/93516,OSP:MESS:C666237,pole/54482,pole/54117
oh_route/93517,OSP:MESS::8092297,pole/53658,pole/53619
oh_route/93518,OSP:MESS:C650714,pole/53017,pole/52293
oh_route/93519,OSP:MESS:C644645,st_struct_pedestal/93572,pole/54504
oh_route/93520,OSP:MESS:C647546,pole/53437,pole/53763
oh_route/93521,OSP:MESS:C653856,pole/54088,pole/54294
oh_route/93522,OSP:MESS:C654614,pole/52455,pole/52879
oh_route/93523,OSP:MESS:C637095,pole/53524,pole/52401
oh_route/93524,OSP:MESS:C641803,pole/52778,pole/53625
oh_route/93525,OSP:MESS:C706781,pole/54403,pole/53174
oh_route/93526,OSP:MESS:C648465,pole/53200,pole/52581
oh_route/93458,OSP:MESS::17055387,pole/52475,st_struct_pedestal/93030
oh_route/93459,OSP:MESS::17055327,cabinet/2769,pole/53629
oh_route/93460,OSP:MESS::8157647,pole/52702,mywcom_route_junction/28214
oh_route/93461,OSP:MESS::15966968,pole/52396,building/68450
oh_route/93462,OSP:MESS:C651930,pole/52965,pole/53448
oh_route/93463,OSP:MESS::17055319,cabinet/2830,pole/52695
oh_route/93464,OSP:MESS:C706856,pole/53049,pole/52580
oh_route/93465,OSP:MESS:C637423,pole/53388,pole/53911
oh_route/93466,OSP:MESS:C704919,pole/52532,pole/54535
oh_route/93467,OSP:MESS:C653604,pole/54236,pole/52328
oh_route/93468,OSP:MESS::8097756,pole/53936,mywcom_route_junction/28106
oh_route/93469,OSP:MESS:C646289,pole/54104,pole/54578
oh_route/93470,OSP:MESS:C637422,pole/53106,pole/53671
oh_route/93471,OSP:MESS:C652723,pole/52475,pole/52267
oh_route/93472,OSP:MESS:C707006,pole/52244,pole/53642
oh_route/93473,OSP:MESS::8081817,pole/54475,pole/53884
oh_route/93474,OSP:MESS:C660353,pole/53348,pole/53029
oh_route/93475,OSP:MESS::8097092,pole/52535,pole/52358
oh_route/93476,OSP:MESS:C646360,pole/52582,pole/52335
oh_route/93477,OSP:MESS:C650955,pole/52608,pole/54077
oh_route/93478,OSP:MESS:C651831,cabinet/2824,mywcom_route_junction/27524
oh_route/93479,OSP:MESS::9492030,pole/53581,pole/52887
oh_route/93480,OSP:MESS:C704833,pole/53517,building/68402
