id,name,in_structure,out_structure
ug_route/159677,OSP:CHOLE::13781188,st_struct_vault/2483,mywcom_route_junction/20993
ug_route/159678,OSP:CHOLE::14268404,st_struct_vault/2482,mywcom_route_junction/21312
ug_route/159679,OSP:BUSP:C648397,mywcom_route_junction/21037,st_struct_pedestal/70319
ug_route/159680,OSP:FBSP::13713525,pole/42132,mywcom_route_junction/21006
ug_route/159681,OSP:FBSP::12389060,st_struct_pedestal/67547,mywcom_route_junction/21239
ug_route/159682,OSP:FBSP::12051791,mywcom_route_junction/21734,mywcom_route_junction/21984
ug_route/159683,OSP:BUSP::9498766,mywcom_route_junction/21507,st_struct_pedestal/69158
ug_route/159684,OSP:BUSP::9440504,mywcom_route_junction/21275,st_struct_pedestal/70721
ug_route/159685,OSP:CHOLE::10695867,st_struct_vault/2422,mywcom_route_junction/20957
ug_route/159686,OSP:BUSP::9499399,mywcom_route_junction/21664,st_struct_pedestal/69849
ug_route/159687,OSP:BUSP::9525948,mywcom_route_junction/21270,cabinet/2432
ug_route/159688,OSP:FBSP:C708420,st_struct_buried_splice_location/2702,st_struct_pedestal/68169
ug_route/159689,OSP:BUSP::9450741,mywcom_route_junction/21409,st_struct_pedestal/69522
ug_route/159690,OSP:BUSP::9451386,mywcom_route_junction/21162,st_struct_pedestal/68839
ug_route/159691,OSP:BUSP::9451799,mywcom_route_junction/21731,st_struct_pedestal/69969
ug_route/159692,OSP:BUSP::9451810,mywcom_route_junction/21651,st_struct_pedestal/68992
ug_route/159693,OSP:BUSP::9451802,mywcom_route_junction/21791,st_struct_pedestal/68271
ug_route/159694,OSP:BUSP::9450431,mywcom_route_junction/21281,st_struct_pedestal/68618
ug_route/159695,OSP:BUSP::9451383,mywcom_route_junction/21101,st_struct_pedestal/68270
ug_route/159696,OSP:BUSP::9452062,mywcom_route_junction/21316,st_struct_pedestal/69441
ug_route/159697,OSP:BUSP::9452056,mywcom_route_junction/21893,st_struct_pedestal/67324
ug_route/159698,OSP:BUSP::9451390,mywcom_route_junction/21883,st_struct_pedestal/70578
ug_route/159699,OSP:BUSP::9452065,mywcom_route_junction/21544,st_struct_pedestal/67560
ug_route/159700,OSP:BUSP::9450458,mywcom_route_junction/21942,st_struct_pedestal/69567
ug_route/159701,OSP:BUSP::9450747,mywcom_route_junction/21448,st_struct_pedestal/70799
ug_route/159702,OSP:BUSP::9451075,mywcom_route_junction/21230,st_struct_pedestal/70305
ug_route/159703,OSP:BUSP::9450463,mywcom_route_junction/21789,st_struct_pedestal/70630
ug_route/159704,OSP:BUSP::9450746,mywcom_route_junction/21200,st_struct_pedestal/70434
ug_route/159705,OSP:BUSP::9451805,mywcom_route_junction/21175,st_struct_pedestal/68016
ug_route/159706,OSP:BUSP::9452059,mywcom_route_junction/21445,st_struct_pedestal/70319
ug_route/159707,OSP:BUSP::9450464,mywcom_route_junction/21824,st_struct_pedestal/68528
ug_route/159708,OSP:BUSP::9275655,mywcom_route_junction/20976,st_struct_pedestal/69908
ug_route/159709,OSP:BUSP::9450744,mywcom_route_junction/21200,mywcom_route_junction/21448
ug_route/159710,OSP:BUSP::13020514,st_struct_pedestal/70086,mywcom_route_junction/20909
ug_route/159711,OSP:BUSP::9469353,mywcom_route_junction/20925,st_struct_pedestal/67680
ug_route/159712,OSP:FBSP::12051789,st_struct_pedestal/70687,mywcom_route_junction/21734
ug_route/159713,OSP:BUSP::9455558,mywcom_route_junction/21515,st_struct_pedestal/67296
ug_route/159714,OSP:BUSP::10069940,st_struct_pedestal/67576,st_struct_pedestal/67949
ug_route/159715,OSP:FBSP::12051790,mywcom_route_junction/21734,st_struct_pedestal/68849
ug_route/159716,OSP:CHOLE::12078037,st_struct_vault/2486,mywcom_route_junction/21610
ug_route/159717,OSP:CHOLE::13781189,st_struct_vault/2467,mywcom_route_junction/21308
ug_route/159718,OSP:BUSP::9450427,mywcom_route_junction/21080,st_struct_pedestal/70665
ug_route/159719,OSP:BUSP:C645706,mywcom_route_junction/21053,st_struct_pedestal/68444
ug_route/159720,OSP:CHOLE::16958664,st_struct_vault/2475,mywcom_route_junction/21244
ug_route/159721,OSP:CHOLE::16958671,st_struct_vault/2475,mywcom_route_junction/21611
ug_route/159722,OSP:CHOLE::12440284,st_struct_vault/2440,mywcom_route_junction/20937
ug_route/159723,OSP:BUSP::9530109,cabinet/2478,st_struct_pedestal/69707
ug_route/159724,OSP:BUSP:C658279,st_struct_pedestal/69590,pole/40808
ug_route/159725,OSP:FBSP:C652873,mywcom_route_junction/21805,building/49644
ug_route/159726,OSP:FBSP::13684420,st_struct_pedestal/68321,building/50756
ug_route/159727,OSP:FBSP:C663376,mywcom_route_junction/21370,st_struct_pedestal/68190
ug_route/159728,OSP:CHOLE::13917047,mywcom_route_junction/20971,st_struct_vault/2434
ug_route/159729,OSP:FBSP::12079013,st_struct_pedestal/68802,st_struct_pedestal/69882
ug_route/159730,OSP:BUSP::9503223,st_struct_pedestal/67101,mywcom_route_junction/20989
ug_route/159731,OSP:CHOLE::16960915,st_struct_vault/2467,mywcom_route_junction/21698
ug_route/159732,OSP:CHOLE::16958663,st_struct_vault/2475,mywcom_route_junction/20982
ug_route/159733,OSP:CHOLE::13917048,mywcom_route_junction/20971,st_struct_vault/2434
ug_route/159734,OSP:CHOLE::12440287,st_struct_vault/2479,mywcom_route_junction/21429
ug_route/159735,OSP:BUSP::9500035,st_struct_pedestal/69423,mywcom_route_junction/21808
ug_route/159736,OSP:CHOLE::12440281,st_struct_vault/2444,mywcom_route_junction/21484
ug_route/159737,OSP:BUSP::9500348,st_struct_pedestal/67675,mywcom_route_junction/21313
ug_route/159738,OSP:BUSP::9501954,mywcom_route_junction/21028,st_struct_pedestal/67453
ug_route/159739,OSP:BUSP::9503220,mywcom_route_junction/21054,st_struct_pedestal/70800
ug_route/159740,OSP:CHOLE::16943302,st_struct_vault/2479,mywcom_route_junction/21523
ug_route/159741,OSP:BUSP::9499073,st_struct_pedestal/67844,mywcom_route_junction/20908
ug_route/159742,OSP:FBSP:C706992,mywcom_route_junction/21292,building/50211
ug_route/159743,OSP:FBSP:C706990,mywcom_route_junction/21881,building/48915
ug_route/159744,OSP:BUSP::9500021,mywcom_route_junction/21464,st_struct_pedestal/68351
ug_route/159745,OSP:FBSP:C706966,mywcom_route_junction/21617,building/49209
ug_route/159746,OSP:FBSP:C706989,mywcom_route_junction/21169,building/48998
ug_route/159747,OSP:BUSP::9501987,st_struct_pedestal/70385,mywcom_route_junction/21767
ug_route/159748,OSP:BUSP::9501951,st_struct_pedestal/69671,mywcom_route_junction/20986
ug_route/159749,OSP:BUSP::9501957,mywcom_route_junction/21821,st_struct_pedestal/67990
ug_route/159750,OSP:BUSP::9500024,mywcom_route_junction/21434,st_struct_pedestal/67492
ug_route/159751,OSP:BUSP:C648401,mywcom_route_junction/21179,mywcom_route_junction/21037
ug_route/159752,OSP:FBSP:C706962,mywcom_route_junction/21750,building/50200
ug_route/159753,OSP:BUSP::9498769,st_struct_pedestal/67270,mywcom_route_junction/21137
ug_route/159754,OSP:FBSP::16786568,mywcom_route_junction/21968,building/50833
ug_route/159755,OSP:BUSP::9499390,st_struct_pedestal/70590,mywcom_route_junction/21266
ug_route/159756,OSP:BUSP::9500340,mywcom_route_junction/21353,st_struct_pedestal/70012
ug_route/159757,OSP:BUSP::9501950,mywcom_route_junction/21590,st_struct_pedestal/69893
ug_route/159758,OSP:BUSP::9502276,st_struct_pedestal/68820,mywcom_route_junction/20903
ug_route/159759,OSP:BUSP::9500027,mywcom_route_junction/21427,st_struct_pedestal/70374
ug_route/159760,OSP:BUSP::9501969,mywcom_route_junction/21623,st_struct_pedestal/70326
ug_route/159761,OSP:BUSP::9500351,mywcom_route_junction/21477,st_struct_pedestal/70632
ug_route/159762,OSP:BUSP::9498761,st_struct_pedestal/67963,mywcom_route_junction/21133
ug_route/159763,OSP:BUSP::8435652,mywcom_route_junction/21993,mywcom_route_junction/21486
ug_route/159764,OSP:CHOLE::12440959,st_struct_vault/2480,mywcom_route_junction/21529
ug_route/159765,OSP:CHOLE::11065236,st_struct_vault/2467,mywcom_route_junction/21944
ug_route/159766,OSP:BUSP::9500354,mywcom_route_junction/21065,st_struct_pedestal/68038
ug_route/159767,OSP:BUSP::8345412,st_struct_pedestal/69898,mywcom_route_junction/21549
ug_route/159768,OSP:BUSP::13712580,mywcom_route_junction/20993,st_struct_vault/2482
ug_route/159769,OSP:BUSP::9501946,mywcom_route_junction/21838,st_struct_pedestal/69494
ug_route/159770,OSP:BUSP::13675147,st_struct_pedestal/68392,mywcom_route_junction/21855
ug_route/159771,OSP:BUSP::8447502,mywcom_route_junction/21358,building/49754
ug_route/159772,OSP:CHOLE::12449261,st_struct_vault/2434,mywcom_route_junction/22022
ug_route/159773,OSP:BUSP::8189722,pole/42838,st_struct_pedestal/67983
ug_route/159774,OSP:FBSP::12051909,st_struct_pedestal/70626,st_struct_pedestal/70439
ug_route/159775,OSP:BUSP::16795217,mywcom_route_junction/21730,mywcom_route_junction/21137
ug_route/159776,OSP:FBSP::13672926,mywcom_route_junction/22019,mywcom_route_junction/21629
ug_route/159777,OSP:BUSP:C667329,st_struct_pedestal/68466,st_struct_pedestal/70580
ug_route/159778,OSP:BUSP:C689275,st_struct_pedestal/67375,mywcom_route_junction/22006
ug_route/159779,OSP:BUSP::9499411,mywcom_route_junction/21795,st_struct_pedestal/67581
ug_route/159780,OSP:BUSP::11087285,cabinet/2469,tower/483
ug_route/159781,OSP:BUSP::16769860,mywcom_route_junction/21988,st_struct_pedestal/69884
ug_route/159782,OSP:BUSP::8950852,st_struct_pedestal/68309,mywcom_route_junction/21827
ug_route/159783,OSP:BUSP::9499402,st_struct_pedestal/69721,mywcom_route_junction/21248
ug_route/159784,OSP:BUSP::9499408,mywcom_route_junction/21822,st_struct_pedestal/69469
