id,name,in_structure,out_structure
ug_route/159127,OSP:FORSP::7349991,st_struct_vault/2411,mywcom_route_junction/20804
ug_route/159128,OSP:FORSP::7349992,mywcom_route_junction/20804,st_struct_pedestal/66885
ug_route/159129,OSP:CHOLE::7414532,st_struct_vault/2412,mywcom_route_junction/20852
ug_route/159130,OSP:BUSP::12358135,st_struct_pedestal/66939,st_struct_pedestal/66820
ug_route/159131,OSP:FORSP::14043573,st_struct_vault/2409,st_struct_pedestal/66841
ug_route/159132,OSP:FBSP::8078584,st_struct_pedestal/66961,st_struct_pedestal/66936
ug_route/159133,OSP:CHOLE::9884996,mywcom_route_junction/20876,st_struct_vault/2409
ug_route/159134,OSP:FBSP:C263861,mywcom_route_junction/20839,building/48684
ug_route/159135,OSP:BUSP::13344578,mywcom_route_junction/20813,building/48703
ug_route/159136,OSP:BUSP:C257056,mywcom_route_junction/20829,st_struct_pedestal/66852
ug_route/159137,OSP:BUSP::13342671,mywcom_route_junction/20845,building/48717
ug_route/159138,OSP:FBSP:C263857,mywcom_route_junction/20839,building/48703
ug_route/159139,OSP:FBSP:C263812,mywcom_route_junction/20836,building/48717
ug_route/159140,OSP:FBSP:C270547,mywcom_route_junction/20830,st_struct_pedestal/66978
ug_route/159141,OSP:BUSP:C256793,st_struct_pedestal/67014,st_struct_pedestal/66976
ug_route/159142,OSP:FBSP:C263558,mywcom_route_junction/20860,building/48716
ug_route/159143,OSP:BUSP::13344577,mywcom_route_junction/20813,building/48684
ug_route/159144,OSP:FORSP::7349988,st_struct_vault/2410,mywcom_route_junction/20797
ug_route/159145,OSP:FBSP:C263808,mywcom_route_junction/20836,building/48698
ug_route/159146,OSP:BUSP:C257013,mywcom_route_junction/20829,mywcom_route_junction/20833
ug_route/159147,OSP:BUSP::17046084,cabinet/2412,cabinet/2410
ug_route/159148,OSP:BUSP::13344570,mywcom_route_junction/20826,building/48701
ug_route/159149,OSP:BUSP:C270196,st_struct_pedestal/66825,st_struct_pedestal/66979
ug_route/159150,OSP:BUSP::12729845,st_struct_pedestal/66921,st_struct_pedestal/66840
ug_route/159151,OSP:BUSP::13342672,mywcom_route_junction/20845,building/48698
ug_route/159152,OSP:CHOLE::7414856,st_struct_vault/2413,mywcom_route_junction/20842
ug_route/159153,OSP:BUSP::16936917,st_struct_pedestal/67017,st_struct_pedestal/66878
ug_route/159154,OSP:FBSP::8079178,mywcom_route_junction/20823,building/48694
ug_route/159155,OSP:BUSP::12358650,mywcom_route_junction/20806,st_struct_pedestal/66978
ug_route/159156,OSP:BUSP::13310981,mywcom_route_junction/20803,building/48716
ug_route/159157,OSP:BUSP::12776329,mywcom_route_junction/20814,st_struct_pedestal/66944
ug_route/159158,OSP:BUSP::12358438,mywcom_route_junction/20820,st_struct_pedestal/67001
ug_route/159159,OSP:BUSP::13231609,mywcom_route_junction/20858,st_struct_pedestal/66927
ug_route/159160,OSP:BUSP::12358445,st_struct_pedestal/66825,st_struct_pedestal/66979
ug_route/159161,OSP:BUSP::16848356,st_struct_pedestal/66866,building/48692
ug_route/159162,OSP:FBSP:C263887,mywcom_route_junction/20832,building/48701
ug_route/159163,OSP:FBSP:C263871,st_struct_pedestal/66974,building/48696
