id,path,in_structure,out_structure,name,specification,type_name,inventory_status_code,work_order_name,st_std_desc,measured_length,st_ownr_co_nm,st_eas_rmks,st_co_id,st_rmks,st_vntge_yr,sap_pm_order,create_user,created_at,update_user,updated_at
oh_route/46920,010200000004000000006230843EF35AC0E88C9D6761244940AC2B10843EF35AC0E087AE7161244940203C6F9D3EF35AC0903D279C61244940542302A83EF35AC0D0BB579E61244940,pole/52475,st_struct_pedestal/93030,OSP:MESS::17055387,MESSENGER,MESSENGER,IPL,,Aerial Copper,1.02490917,SASKTEL,,SWCRSK02,,2025,,THARS1,2025-09-17T11:24:41,SAKAM1,2025-09-18T06:10:50
oh_route/602639,010200000004000000E04AC6FCFFF25AC078F6B883192549400CBEB11900F35AC0408B737B192549403CC73D1900F35AC03064CA6119254940588558F3FFF25AC040A2241F19254940,cabinet/2769,pole/53629,OSP:MESS::17055327,MESSENGER,MESSENGER,IPL,,Aerial Fiber,2.0,SASKTEL,,SWCRSK02,,2014,974757,THARS1,2025-09-17T08:47:49,SAKAM1,2025-09-18T06:10:51
oh_route/346755,010200000003000000E463D23AA5F25AC038108A01A024494084D0135FA5F25AC0A0974727A0244940D8C340D2A5F25AC038A86527A0244940,pole/52702,mywcom_route_junction/28214,OSP:MESS::8157647,MESSENGER,MESSENGER,IPL,,Aerial Fiber,3.7,SASKTEL,,SWCRSK02,,2014,974757,,,THUND1,2023-11-02T07:10:07
oh_route/320789,01020000000200000054A959CD3EF45AC05853FA582D244940548B6B563FF45AC0206AD6E42C244940,pole/52396,building/68450,OSP:MESS::15966968,MESSENGER,MESSENGER,IPL,SWCR112098,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,ROOKP2,2023-02-09T10:52:18,ENAGV1,2025-09-16T03:24:42
oh_route/712472,01020000000200000048F9EB43EEF25AC058BECCBC84234940A8A76641EEF25AC01846210690234940,pole/52965,pole/53448,OSP:MESS:C651930,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/122869,010200000004000000487BD4760BF35AC008E0F207AC23494030C1D6900BF35AC038005CE2AB234940B0CAB9050CF35AC0B86310E3AB234940EC223F270CF35AC0A02A7A08AC234940,cabinet/2830,pole/52695,OSP:MESS::17055319,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,THARS1,2025-09-17T06:46:40,THUND1,2025-09-25T05:41:12
oh_route/312726,010200000002000000D4D832D479F25AC0F8F5CB1347264940B4F2447079F25AC088FEA92846264940,pole/53049,pole/52580,OSP:MESS:C706856,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,HUNTG1,2021-03-15T16:15:31
oh_route/172933,010200000002000000F0FA0BBE42F15AC0B0BC7498512549400CBAC65F41F15AC0100335A051254940,pole/53388,pole/53911,OSP:MESS:C637423,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/93820,010200000002000000CC6C1A850BF35AC09084CFA6882249400CD2EEB80AF35AC030ED765889224940,pole/52532,pole/54535,OSP:MESS:C704919,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/204867,010200000002000000C42E007656F35AC0B8544672A524494060B2AE8D55F35AC0B00EDDDFA5244940,pole/54236,pole/52328,OSP:MESS:C653604,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,ROOKP2,2023-02-27T14:44:54
oh_route/544645,0102000000020000002871702B15F35AC0C0AFB959B22249407097DEAD15F35AC050B7C448B1224940,pole/53936,mywcom_route_junction/28106,OSP:MESS::8097756,MESSENGER,MESSENGER,IPL,,Aerial Copper,4.24485299,SASKTEL,,SWCRSK02,,,0,,,ENAGV1,2024-11-19T03:23:47
