id,location,name,type_name,inventory_status_code,work_order_name,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_trmnl_id,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id
Structure1_WGS84/12732,0101000000708ECF9E0A255AC0905394E8383B4940,TOWER:FIXED::13155819,Fixed,IPL,,LACC_ATRENCH_F,REGNSK,REGOSKIS,REGNSK01,SaskTel,2022,,,,,
Structure1_WGS84/12777,01010000002468A5A683A859C030D402CA120D4940,TOWER:FIXED::12393163,Fixed,IPL,,,KPNGSK,KPNGSK01,KPNGSK01,SaskTel,1995,,,,,
Structure1_WGS84/14079,010100000010A36696A4FD5AC0101953A6940E4940,TOWER:FIXED::12451735,Fixed,IPL,,,SWCRSK,DNCRSK01,WYMRSK02,SASKTEL,2021,,,,,
Structure1_WGS84/14313,0101000000B8809719762A5AC00066ABC3383E4940,TOWER:FIXED::13199706,Fixed,PDA,REGN823387,,REGNSK,REGOSKGH,REGNSK04,SASKTEL,2024,,,,0000,823387
Structure1_WGS84/15331,010100000084D75BEE3FC25AC0B8FD2F9ABF3D4940,TOWER:TOWER:C500914,Fixed,IPL,,,MORSSK,,MORSSK01,SASKTEL,,,,,,
Structure1_WGS84/15338,0101000000303CA56C39E85AC090B0A4863DFB4840,TOWER:FIXED::12363095,Fixed,IPL,,,NEVLSK,,NEVLSK01,SaskTel,2019,,,,,
Structure1_WGS84/15339,0101000000A43EBB3C70725BC01004A930902B4940,TOWER:FIXED::12349669,Fixed,IPL,,,RCHMSK,,RCHMSK02,SaskTel,2005,,,,,
Structure1_WGS84/15357,0101000000BC34E25578465BC0900A5195A1D14840,TOWER:FIXED::12451725,Fixed,IPL,,,ESNDSK,,RVNSSK01,SaskTel,2021,,,,,
Structure1_WGS84/15374,010100000030AF652A8BD75AC02844101FCC194940,TOWER:FIXED::12435095,Fixed,IPL,,,NDPTSK,,HLNQSK01,SaskTel,2020,,,,,
Structure1_WGS84/15375,01010000005496C51DFFDB5AC028B27B0414494940,TOWER:FIXED::12435743,Fixed,IPL,,,HRBRSK,,MNCTSK01,SaskTel,2020,,,,,
Structure1_WGS84/15445,01010000006C21CFFBED765AC0706000BBBC864940,TOWER:TOWER:C106005,Fixed,IPL,,,CRAKSK,,CRAKSK01,SASKTEL,,,,,,
Structure1_WGS84/15569,0101000000343B9C0A822A5AC038B53D2BBD3D4940,TOWER:FIXED::7247596,Fixed,IPL,,,REGNSK,REGOSKKE,REGNSK04,SaskTel,2013,,,,0010,971557
Structure1_WGS84/15724,01010000003067A901727F5AC0B072B7449EA14940,TOWER:FIXED::12398331,Fixed,IPL,,,DVSNSK,DVSNSK03,DVSNSK03,SaskTel,1994,,,,,
Structure1_WGS84/16242,01010000004460BD9B986A59C0D8C1096B74124940,TOWER:PTBL::7948954,Fixed,IPL,,,MSMNSK06,MSMNSK06,MSMNSK01,SaskTel,2014,,,,0010,976077
Structure1_WGS84/16291,010100000040966FF75ECE5AC0E837BEF60C364940,TOWER:TOWER:C518195,Fixed,IPL,,,HRBRSK,,HRBRSK01,SASKTEL,,,,,,
Structure1_WGS84/18252,01010000006087FB3F3C265AC0E8F5FB2616384940,TOWER:FIXED::12510301,Fixed,IPL,,,REGNSK,REGOSKLQ,REGNSK01,SaskTel,2013,,,,,
Structure1_WGS84/18253,010100000070B3651771275AC0E0EEAE4BFE364940,TOWER:FIXED::12510302,Fixed,IPL,,,REGNSK,REGOSKFB,REGNSK01,SaskTel,2011,,,,,
Structure1_WGS84/18256,0101000000982936B1A3275AC0A876630776384940,TOWER:FIXED::12510303,Fixed,IPL,,,REGNSK,REGNSKTJ,REGNSK01,SaskTel,2002,,,,,
