id,path,in_structure,out_structure,specification,type_name,to_structure_name,from_structure_name,inventory_status_code,ownership_type_code,work_order_name,work_order_item_number,account_code,placement_date,measured_length,st_ownr_co_nm,st_sap_stk_id,st_eas_rmks,st_co_id,st_rmks,st_vntge_yr,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd
SPAN_REG16/273503,01050000000100000001020000000200000010DC524B36295AC030EF5F30AA3A4940D0E3E35236295AC078AB2F31A73A4940,STRUCTURE_REG16/510872,STRUCTURE_REG16/568426,FORMATION,FORMATION,SPJCT:SPJCT:C214914,VAULT:MH-S:C210042,IPL,OWN,,0.0,SPST_ACONDUIT,,0.0,SASKTEL,,,REGNSK04,,,,0.0,UG
SPAN_REG16/250103,010500000001000000010200000004000000E099987AD22B5AC0F8BBA831EF3B494004170C5DD22B5AC070BA5713EF3B49407C3A2B5DD22B5AC040AE4676E53B494034D0B87AD22B5AC0B0EA264AE53B4940,STRUCTURE_REG16/460043,STRUCTURE_REG16/306788,BURIED,BURIED,PED:JSPED:C197627,PED:JSPED:C196864,IPL,OWN,,0.0,LACC_ATRENCH_F,,34.0333055,SASKTEL,-,,REGNSK04,,2016.0,0010,985491.0,BU
SPAN_REG16/292284,010500000001000000010200000002000000342038EAE52B5AC0F818ABEECD3B4940EC56ECE8E52B5AC038CEC077C43B4940,STRUCTURE_REG16/207992,STRUCTURE_REG16/159442,BURIED FOREIGN,BURIED,PED:JSPED:C198794,PED:JSPED:C198790,IPL,LEASED IN,,0.0,,,0.0,SASKPOWER,,,REGNSK04,,,,,BU
SPAN_REG16/375501,01050000000100000001020000001300000084F61E1F6E2B5AC0305382B4F53B49409439A7A36D2B5AC0507BF584F43B4940804FCCAA6A2B5AC080ABFF8AF43B4940784C2A6E6A2B5AC0E8E98486F43B4940784C2A6E6A2B5AC02031977AF43B4940C44611336A2B5AC09020797AF43B4940041BE3326A2B5AC0E0F7BD5AE93B4940D0CB95326A2B5AC068C1101BE73B4940B4759F326A2B5AC0485704FAE23B494074A7F9326A2B5AC000FB1C7DDE3B49405C5103336A2B5AC0E833715CDA3B494088B72E326A2B5AC068F133DFD53B4940E48457326A2B5AC06823CD48D23B49400C9969306A2B5AC0E0BBDBFCCC3B494008C73DA76A2B5AC0E0F4731FCD3B4940641122CA6B2B5AC048439922CD3B494024BF8542722B5AC090628621CD3B4940E833050A732B5AC020D11523CD3B4940F8203165732B5AC0D8BC57D8CC3B4940,STRUCTURE_REG16/40448,STRUCTURE_REG16/422080,1(100mm),CONDUIT,SPJCT:SPJCT:C202871,PED:SST::10589331,IPL,OWN,,0.0,SPST_ACONDUIT,,0.0,SASKTEL,,,REGNSK04,,,,,U
SPAN_REG16/387280,010500000001000000010200000005000000A41114EEBE2B5AC0A06F789FF53B4940683716EEBE2B5AC0D0C94B9EF53B4940A011D640BF2B5AC0188D6B9FF53B49400423F150C62B5AC0E877879FF53B4940BC1CDEC2C62B5AC0E819169EF53B4940,STRUCTURE_REG16/562638,STRUCTURE_REG16/383751,JU BURIED SPAN,BURIED,PED:JSPED:C196849,PED:JSPED:C197186,IPL,LEASED IN,,0.0,,,33.93738591,JOINT USE,,,REGNSK04,,2024.0,,,BU
SPAN_REG16/239210,01050000000100000001020000000F0000004480ADF4352B5AC0D83BF8D0983B4940C0DC37BC352B5AC010358B36983B4940982D95C1352B5AC0B0745AFE963B4940A08D35B93E2B5AC0902490FE963B49406CCB105F572B5AC0883B6EFD963B4940CCCE8823662B5AC0E8FC3EFD963B494038D5BFC36B2B5AC0B016E9FC963B494074DDA51E732B5AC010D8B9FC963B49407489132D732B5AC018643CFE963B4940CC34E533AE2B5AC0484B0468A33B494038893637AE2B5AC0C0FBB8AAAA3B4940A02DFD37AE2B5AC00816154BB33B49402C1E3273AE2B5AC070E708D4B33B494048BAE973AE2B5AC0406E0508B73B494074BFD5FDAD2B5AC0A8751A8AB73B4940,STRUCTURE_REG16/579745,STRUCTURE_REG16/186310,1(100mm),CONDUIT,PED:SST:C199992,PED:SST::11414607,IPL,OWN,,0.0,SPST_ACONDUIT,,0.0,SASKTEL,,,REGNSK04,,,,,U
SPAN_REG16/713923,01050000000100000001020000000400000090D43C59C72A5AC070B05AADD43B4940106D0180C72A5AC018550960D43B4940109C88EBC92A5AC080EA4BE8CE3B494070165BE0C92A5AC098B1DDB4CE3B4940,STRUCTURE_REG16/547709,STRUCTURE_REG16/83325,BURIED,BURIED,PED:JSPED:C198033,PED:SST::9047594,IPL,OWN,,0.0,LACC_ATRENCH_F,,23.2349867,SASKTEL,-,,REGNSK04,,2016.0,0010,982924.0,BU
SPAN_REG16/162346,010500000001000000010200000002000000A4787B61892A5AC0F8BFFFD0383B4940C01439D2862A5AC00893FDEE3B3B4940,STRUCTURE_REG16/564867,STRUCTURE_REG16/35814,BURIED,BURIED,BUILD:MDU::10796074,POL:PPOLE:C200607,PDA,OWN,REGN101875-0010,20983796.0,LACC_ATRENCH_F,2025-07-09 09:48:10+00:00,20.0,SASKTEL,-,,REGNSK04,,2021.0,0010,101875.0,BU
SPAN_REG16/384331,01050000000100000001020000000200000028C1CBD4902B5AC0404AE11E243C4940A0D89A45992B5AC0D84EA71E243C4940,STRUCTURE_REG16/384966,STRUCTURE_REG16/280464,BURIED FOREIGN,BURIED,PED:JSPED:C197012,PED:JSPED:C197009,IPL,LEASED IN,,0.0,,,0.0,SASKPOWER,,,REGNSK04,,,,,BU
SPAN_REG16/487692,0105000000010000000102000000040000005096DF71432A5AC038209F83333A4940CCE4D719432A5AC04862F124343A49400CFE0EDD3D2A5AC0A0D82A5E383A494030DBD6953D2A5AC0F00CA75A383A4940,STRUCTURE_REG16/370877,STRUCTURE_REG16/571754,1(100mm),CONDUIT,BUILD:MDU::9435722,POL:PPOLE:C277290,IPL,OWN,,0.0,SPST_ACONDUIT,,30.65232904,SASKTEL,,,REGNSK04,OWNER PROVIDED,2017.0,0000,801713.0,U
