id,location,name,specification,type_name,inventory_status_code,work_order_name,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_actvy_cd,st_sap_ntwk_id,average_floor_height,starting_floor,ending_floor,ground_floor_number
STRUCTURE_REG16/9419,0101000000BCF7F8038C2A5AC040FC27E5D9394940,BUILD:BUS:C218374,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,NOT IN MARTENS,,,,,,
STRUCTURE_REG16/9420,01010000008033DCA6762A5AC0B89D97A6E2394940,BUILD:BUS:C220770,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,NOT IN MARTENS,,,,,,
STRUCTURE_REG16/9445,0101000000C0932559382A5AC0B81C02F6BA394940,BUILD:BUS:C255066,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,,,,,,,
STRUCTURE_REG16/10455,0101000000F8FBC76D142B5AC0E8AE4A615F3A4940,BUILD:BUS:C223424,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/10456,01010000001C2A86DE142B5AC08812EE81553A4940,BUILD:BUS:C223439,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/10543,0101000000943D971686295AC080D3E3ADA93B4940,BUILD:BUS:C233082,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,,,,,,
STRUCTURE_REG16/10828,0101000000C83D576D142B5AC08851E2706F3A4940,BUILD:BUS:C223405,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,,,
STRUCTURE_REG16/12092,0101000000ECAE88A182295AC090B6175CA93B4940,BUILD:BUS:C233086,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,,,,,,
STRUCTURE_REG16/27420,0101000000FC8ACD788F2A5AC0B0E2BEBC1D3A4940,BUILD:BUS:C220776,,BUS,IPL,,,REGNSK,,REGNSK01,SASKTEL,,NOT IN MARTENS,,,,,,
STRUCTURE_REG16/27581,01010000002C453E24662C5AC0B0F2155BC33B4940,BUILD:BUS:C211611,,BUS,IPL,,,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,,,,,,
