id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_trmnl_id,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd,st_base_type,st_base_lid_type,st_sap_stk_id_lid,st_mtl_cst_base,st_mtl_cst_lid,st_sap_stk_id_base
STRUCTURE_REG16/39511,010100000098904D27B6295AC0185C82DF483B4940,CAB:JWI:C232755,,JWI,LOC_C6233503,IPL,,0,LACC_ATRENCH_C,REGNSK,REGNSKJ0038,REGNSK04,SASKTEL,,"PWC LMS 20-08,PWC LMS 24-01",100652,I 0211,,,BU,,,,,,
STRUCTURE_REG16/39867,0101000000B8408E55C6295AC0D0106FB9543A4940,CAB:JWI:C214178,,JWI,LOC_C6215162,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,PWC LMS 18-02,100652,I 0215,,,BU,,,,,,
STRUCTURE_REG16/39870,0101000000BC151E6EC6295AC070BA15F7DC3A4940,CAB:JWI:C215398,,JWI,LOC_C6216371,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,PWC LMS 20-09,100652,I 0213,,,BU,,,,,,
STRUCTURE_REG16/46137,01010000002033EC37C0295AC0E815C9709F3A4940,CAB:JWI:C215350,,JWI,LOC_C6216326,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,PWC LMS 20-10,100652,I 0214,,,BU,,,,,,
STRUCTURE_REG16/46162,01010000005C2D6A3CC0295AC0807CDE019C3A4940,CAB:FC:C293040,,FC,LOC_DC6292952,IPL,,0,LACC_TADSL_EQ,REGNSK,REGNSKJ6054,REGNSK04,SASKTEL,2012,,-,UNK,0010,961362,BU,,,,,,
STRUCTURE_REG16/49719,010100000000F46D54762B5AC06865A245CC3B4940,CAB:JWI:C202580,,JWI,LOC_C6203762,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,PWC LMS 22-16,100652,UNK,,,BU,,,,,,
STRUCTURE_REG16/58991,01010000006C2C4ED34C2B5AC0B826FB593F3A4940,CAB:EC::6735551,,EC,LOC_6668680,IPL,,0,LACC_TADSL_EQ,REGNSK,REGOSKNL,REGNSK01,SASKTEL,2013,,120842,UNK,0010,968728,BU,,,,,,
STRUCTURE_REG16/59174,0101000000889CF5918A2B5AC0589C39AA6E3A4940,CAB:JWI:C218724,,JWI,LOC_C6219678,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,"PWC LMS 18-04,PWC LMS 24-19",100652,I 0217,,,BU,,,,,,
STRUCTURE_REG16/76011,01010000002CF7E5A68F295AC0D81A3207093C4940,CAB:EC:C224630,,EC,LOC_C6225510,IPL,,0,LACC_TADSL_EQ,REGNSK,REGNSKSD,REGNSK04,SASKTEL,,PWC LMS 18-06,120842,UNK,,,BU,,,,,,
STRUCTURE_REG16/76012,01010000001C8C7245B6295AC0F89BF484463B4940,CAB:EC:C232768,,EC,LOC_C6233508,IPL,,0,LACC_TADSL_EQ,REGNSK,REGNSKWE,REGNSK04,SASKTEL,,,120842,UNK,,,BU,,,,,,
STRUCTURE_REG16/76014,0101000000805AF0C8B6295AC0489DFF12493B4940,CAB:JWIEX:D7279930,,JWI EXTENSION,LOC_D7245732,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,115259,UNK,,,BU,,,,,,
