id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_trmnl_id,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd,st_fbr_grnd_pnt_ind,st_rte_pdstl_exch_txt
STRUCTURE_REG16/101,0101000000E448208BB82A5AC0D81ED2E9E53A4940,PED:JSPED:C210423,,JOINT STANDARD PED,LOC_C6211446,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 6120 BRUNSKILL PL,,,BU,,"R 6120 BRUNSKILL PL, REGNSK"
STRUCTURE_REG16/184,010100000024F01E05C72A5AC0D8B292AFF43B4940,PED:SST:C211268,,COMPANY STEEL STAKE,LOC_C6212271,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,101057,R 113 MOLLARD CRES,,,BU,,"R 113 MOLLARD CRES, REGNSK"
STRUCTURE_REG16/236,01010000001CFEDCC8232B5AC0E8E39EA4BC3B4940,PED:JSPED:C204221,,JOINT STANDARD PED,LOC_C6205367,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,S 98 SIBBALD CRES,,,BU,,"S 98 SIBBALD CRES, REGNSK"
STRUCTURE_REG16/241,0101000000D4CF9F8C2A2B5AC0805846C2F53B4940,PED:JSPED:C208847,,JOINT STANDARD PED,LOC_C6209903,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 83 READ AVE,,,BU,,"R 83 READ AVE, REGNSK"
STRUCTURE_REG16/2144,010100000060C0E5F3022A5AC030432ECE5E3C4940,PED:JSPED:C224354,,JOINT STANDARD PED,LOC_C6225231,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 88 MARSHALL CRES,,,BU,,"R 88 MARSHALL CRES, REGNSK"
STRUCTURE_REG16/4460,010100000058E5E92C98295AC068C342C93E3A4940,PED:SST:C248309,,COMPANY STEEL STAKE,LOC_C6248826,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK01,SASKTEL,,NO AP IN MARTENS,101057,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/4461,0101000000008302C1AC295AC0C0770DFA123A4940,PED:SST:C203607,,COMPANY STEEL STAKE,LOC_C6204760,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK01,SASKTEL,,NO AP MARTENS,100791,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/6345,010100000094BEB200DD2A5AC0106D3327453C4940,PED:JSPED:C206938,,JOINT STANDARD PED,LOC_C6208056,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 75 TRUDELLE CRES,,,BU,,"R 75 TRUDELLE CRES, REGNSK"
STRUCTURE_REG16/9439,01010000006C802C53722A5AC05057B4FCEA394940,PED:SST:C220537,,COMPANY STEEL STAKE,LOC_C6221480,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK01,SASKTEL,,LENGTH=DEPTH,100783,UP1200 F PT BARKER,,,BU,,"UP1200 F PT BARKER, REGNSK"
STRUCTURE_REG16/9510,01010000005CB2225125295AC078AB096A443B4940,PED:JSPED:C202293,,JOINT STANDARD PED,LOC_C6203474,IPL,,0,,REGNSK,,REGNSK01,SASKPOWER,,NOT IN MARTENS,,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/10633,0101000000D8717A19102B5AC018B2900CBB3B4940,PED:JSPED:C203740,,JOINT STANDARD PED,LOC_C6204890,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 11 SIBBALD CRES,,,BU,,"R 11 SIBBALD CRES, REGNSK"
STRUCTURE_REG16/11976,0101000000002CE0088C295AC0C0C8415FB33B4940,PED:JSPED:C233065,,JOINT STANDARD PED,LOC_C6233793,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 36 ROSEMONT CRES,,,BU,,"R 36 ROSEMONT CRES, REGNSK"
STRUCTURE_REG16/13907,0101000000D04444D6DF2A5AC0A81EE9A6293C4940,PED:JSPED:C209202,,JOINT STANDARD PED,LOC_C6210249,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 78 TRUDELLE CRES,,,BU,,"R 78 TRUDELLE CRES, REGNSK"
STRUCTURE_REG16/23493,0101000000A41473C4652C5AC0D00656FECA3B4940,PED:SST:C207277,,COMPANY STEEL STAKE,LOC_C6208387,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,NO AP IN MARTENS,100783,UNK,,,BU,,"UNK, REGNSK"
STRUCTURE_REG16/23574,0101000000F4971AF7FF2B5AC0688E7FE8C73A4940,PED:JSPED:C197899,,JOINT STANDARD PED,LOC_C6199137,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 1218 COURTNEY ST,,,BU,,"R 1218 COURTNEY ST, REGNSK"
STRUCTURE_REG16/23588,0101000000542543EEFF2B5AC0D8727E2F6A3A4940,PED:JSPED:C221817,,JOINT STANDARD PED,LOC_C6222742,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 1334 COURTNEY ST,,,BU,,"R 1334 COURTNEY ST, REGNSK"
STRUCTURE_REG16/27238,0101000000B8C4B215EB2A5AC0202CF0A3473B4940,PED:JSPED:C198645,,JOINT STANDARD PED,LOC_C6199879,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 91 KRAUSS ST,,,BU,,"R 91 KRAUSS ST, REGNSK"
STRUCTURE_REG16/27419,0101000000EC60A330182B5AC070057781413B4940,PED:JSPED:C198227,,JOINT STANDARD PED,LOC_C6199454,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 972 MCCARTHY BLVD,,,BU,,"R 972 MCCARTHY BLVD, REGNSK"
STRUCTURE_REG16/27487,010100000054D8A1D4FD2A5AC0A8D9AF1A8F3B4940,PED:JSPED:C200884,,JOINT STANDARD PED,LOC_C6202077,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 30 KRAUSS ST,,,BU,,"R 30 KRAUSS ST, REGNSK"
STRUCTURE_REG16/27615,0101000000F03FD5F5FF2B5AC000BEB81ABA3A4940,PED:JSPED:C221902,,JOINT STANDARD PED,LOC_C6222802,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 1226 COURTNEY ST,,,BU,,"R 1226 COURTNEY ST, REGNSK"
STRUCTURE_REG16/27809,010100000008B579F8FF2B5AC098E45DBBD53A4940,PED:JSPED:C197894,,JOINT STANDARD PED,LOC_C6199133,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 1210 COURTNEY ST,,,BU,,"R 1210 COURTNEY ST, REGNSK"
STRUCTURE_REG16/27867,01010000001C9F0A64882B5AC0608E531E243C4940,PED:JSPED:C196997,,JOINT STANDARD PED,LOC_C6198234,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 430 FULTON DR,,,BU,,"R 430 FULTON DR, REGNSK"
STRUCTURE_REG16/31486,010100000010FEF88AEF2B5AC0405BC09E4B3C4940,PED:JSPED:C194276,,JOINT STANDARD PED,LOC_C6195576,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 502 HANSEN DR,,,BU,,"R 502 HANSEN DR, REGNSK"
STRUCTURE_REG16/31487,0101000000302A41305B2B5AC0903A401E243C4940,PED:JSPED:C196972,,JOINT STANDARD PED,LOC_C6198210,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 346 FULTON DR,,,BU,,"R 346 FULTON DR, REGNSK"
STRUCTURE_REG16/31532,010100000004AFCA763F2B5AC0C0F6583C2D3C4940,PED:SST:C209999,,COMPANY STEEL STAKE,LOC_C6211034,IPL,,0,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,,LENGTH=DEPTH,100783,R 306 FULTON DR,,,BU,,"R 306 FULTON DR, REGNSK"
STRUCTURE_REG16/31796,0101000000586B49C360295AC0C8C5FD26583B4940,PED:SST::13337900,,COMPANY STEEL STAKE,LOC_11139785,PDA,REGN826982,27991337,LACC_ATRENCH_C,REGNSK,,REGNSK04,SASKTEL,2025,LENGTH=DEPTH,100791,,0000,826982,,,", REGNSK"
STRUCTURE_REG16/32362,0101000000D045F47F0F2B5AC070DA265EA33B4940,PED:JSPED:C203771,,JOINT STANDARD PED,LOC_C6204921,IPL,,0,,REGNSK,,REGNSK04,SASKPOWER,,,,R 31 SIBBALD CRES,,,BU,,"R 31 SIBBALD CRES, REGNSK"
STRUCTURE_REG16/33252,0101000000287209394F2B5AC0E83DEFAFA63B4940,PED:SST::11447569,,COMPANY STEEL STAKE,LOC_10985543,IPL,,0,LACC_ATRENCH_F,REGNSK,,REGNSK04,,2021,,,,0010,104604,U,,", REGNSK"
