id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,height,clli_code,st_uom_cd,st_pl_cl_cd,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_rte_id,st_bond_to_neut_cd,st_trmnl_id,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd
STRUCTURE_REG16/285,0101000000F4BEC57EE7285AC0704C81FFBF3A4940,POL:PPOLE:C194959,,POWER,LOC_C6196247,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/288,0101000000C0624E7CE7285AC0E83CDB24B83A4940,POL:PPOLE:C201089,,POWER,LOC_C6202276,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/294,0101000000CCB67565E7285AC058E348E1663A4940,POL:PPOLE:C199742,,POWER,LOC_C6200964,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/299,0101000000E08DB0CECF285AC040CD53348E3A4940,POL:PPOLE:C201111,,POWER,LOC_C6202302,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/304,0101000000D8371A6703295AC088F730A9913A4940,POL:PPOLE:C199581,,POWER,LOC_C6200805,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/305,010100000040C49B6F03295AC01047CDADC93A4940,POL:PPOLE:C201864,,POWER,LOC_C6203046,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/310,01010000007036EA0FD7285AC078A8B405513A4940,POL:PPOLE:C201206,,POWER,LOC_C6202396,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/311,0101000000ECA26191FC285AC0708CAC885C3A4940,POL:PPOLE:C199461,,POWER,LOC_C6200684,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/314,0101000000606A9C6403295AC0A048858B7E3A4940,POL:PPOLE:C199573,,POWER,LOC_C6200797,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/323,01010000002CD0C8C9DF285AC0108F090D513A4940,POL:PPOLE:C199771,,POWER,LOC_C6200991,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
