id,location,name,type_name,inventory_status_code,work_order_name,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,sap_pm_order,average_floor_height,starting_floor,ending_floor,ground_floor_number,created_user,created_date,last_edited_user,last_edited_date
STRUCTURE024E8F4B502B4CC08A5FC86F8CC50888,010100000078E77D0792235AC0302B6B0DB8374940,BUILD:BUS::11416552,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,,,,,THUND1,2021-04-15T05:18:48,ENAGV1,2025-03-13T01:16:59
STRUCTURE10530c1d8f8f44c78599b93e471f1d9d,0101000000502028C17F235AC0384C7989BE374940,BUILD:BUS:C216579,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:40:31
STRUCTUREd5fc1c9c10834899b3ca6a1029c6e9ac,01010000006463FD1D6C235AC0406BD3B297374940,BUILD:BUS:C217206,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:34:29
STRUCTUREe225fe16c65844ef9f81024f9d10f31d,0101000000884071D77D235AC0A0241B8483374940,BUILD:BUS:C216977,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:41:24
STRUCTUREfe92912de76944b9a9b1d2cb982b905a,0101000000E437688997235AC020A92C479E374940,BUILD:BUS:C216626,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:33:20
STRUCTURE5b60c88785c740e98731e8fd7dc0854c,0101000000540FBE4E2F235AC0502484F35B384940,BUILD:BUS:C165849,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,,,,,,,CHENR1,2022-04-08T07:41:25
STRUCTURE8efa82b8ff4845f4ad525c7c2f52a111,01010000007CD12AA2A2235AC05088E5DBAA374940,BUILD:BUS:C216599,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:38:24
STRUCTURE51a437eb166e423db56a0180633fe02b,010100000058E525D98C235AC0E81E9C66B9374940,BUILD:BUS:C224103,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:41:19
STRUCTUREc17f844f17c04a038231dd982b53770b,01010000002847822276235AC01063397979374940,BUILD:BUS:C216986,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:41:20
STRUCTUREDD7E9FE27D4A4C439F43875D194C2FB3,010100000030E527FB85235AC0C0A9A6F6B2374940,BUILD:BUS::7737437,BUS,IPL,,REGNSK,REGNSK1L207,REGNSK45,SASKTEL,2015,,974687,12.0,0,1,1,,,THUND1,2022-07-13T22:40:12
STRUCTUREae8a19778692443b892096364e723786,010100000004E6F51B7E235AC0F069DC7598374940,BUILD:BUS:C217139,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:41:19
STRUCTUREf3523d177c8944128ef051d4856fa8cc,01010000002C2E0C9394235AC0F83CF39D98374940,BUILD:BUS:C216632,BUS,IPL,,REGNSK,REGNSK1N157,REGNSK45,SASKTEL,,no ap in martens,,,,,,,,ROOKP2,2024-09-16T11:21:19
STRUCTUREa719f447538e47c19a50e518548ac953,01010000008C6D89C473235AC0C80957D08C374940,BUILD:BUS:C217173,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:41:19
STRUCTUREbdabc0ff4ba44d799265d9ad7582a1c7,010100000024B489EC33235AC0103006B85B384940,BUILD:BUS:C214217,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,,,,,,,CHENR1,2022-04-08T07:33:26
STRUCTUREF62F7CEE819549F2B904AF131C3B4A80,0101000000A0E7624898235AC08069E1B7C3374940,BUILD:BUS::13280922,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,2024,,826073,,,,,MANGM1,2024-10-21T12:28:12,MANGM1,2025-03-13T16:24:00
STRUCTUREfddaf6f697884442993c3dbc5c787ab9,0101000000F0D5B4A97F235AC0C08A7629B6374940,BUILD:BUS:C216552,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,,,,,,,CHENR1,2022-04-08T07:38:30
STRUCTURE5f8f9b2feb3747d59dc5e3c3946a1c56,01010000004C1460D99E235AC0E0CBAE62CE374940,BUILD:CDO:C230351,CO,IPL,,REGNSK,REGNSK45,REGNSK45,SASKTEL,,,,,,,,,,THUND1,2022-08-23T00:40:38
STRUCTURE61fafa7c705749f9b64b41c620802bb7,010100000038CB185E8A235AC030098143C5374940,BUILD:BUS:C216422,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:41:18
STRUCTURE8548f61da78c4600bf9e313482ab909d,01010000009CFD62657D235AC0784C1BB099374940,BUILD:BUS:C217141,BUS,IPL,,REGNSK,,REGNSK45,SASKTEL,,NO AP IN MARTENS,,,,,,,,CHENR1,2022-04-08T07:41:26
