id,location,name,type_name,inventory_status_code,st_std_desc,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,created_user,created_date,last_edited_user,last_edited_date
STRUCTUREF85B76BBB8A24A6794AAA2C0A716CB14,01010000000CDEBA0F5E235AC0305BB1E0FA374940,SPJCT:SPJCT::11560843,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,MACAM1,2021-07-22T11:48:48,,2025-03-17T01:28:57
STRUCTURE7D4B56A38D874C2986C6D946982F3C9F,010100000098FBABC77D235AC040D3AD6C99374940,PJCT:SPJCT::10865803,SPAN JUNCTION,PDA,,REGNSK,,REGNSK45,SASKTEL,JOSHH1,2020-04-22T15:21:37,,2025-02-28T07:03:31
STRUCTUREBEE04C0023944FC8B7B86C979C56FBDC,0101000000F0A9FE696C235AC088601CC996374940,PJCT:SPJCT::10865805,SPAN JUNCTION,PDA,,REGNSK,,REGNSK45,SASKTEL,JOSHH1,2020-04-22T15:42:49,,2025-02-28T07:03:32
STRUCTURE82179CB605994A5C92714431C349C0BE,0101000000E0191B578F235AC0489946938B374940,SPJCT:SPJCT::7201754,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2025-03-18T06:29:10
STRUCTUREFE9CBA2EBB87473C8CEA5262F6DA7375,0101000000007547225B235AC068F1ADA5C6374940,PJCT:SPJCT::10260686,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T11:36:07,,2023-11-03T01:42:17
STRUCTURE22F8B2130D76414D8601E3F8BFAEB9AA,010100000098614AF437235AC0B85156A6F4374940,PJCT:SPJCT::10260689,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T11:58:23,,2023-11-03T01:42:17
STRUCTURE6C8740F354674CB38501F5AA39D62ABA,01010000003CBA7BFA34235AC0485A673F3C384940,PJCT:SPJCT::10261013,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T14:00:19,,2023-11-03T01:42:18
STRUCTURE1BDF2AA73F7D4424BA4BE9AE39061EBF,0101000000F05CECB1A5235AC0D836E65EE8374940,PJCT:SPJCT::10261647,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T14:47:28,,2023-11-03T01:42:11
STRUCTURE632EDB211FE44EB29623654E9370F0DD,010100000068B744CBAD235AC0A898403ACA374940,PJCT:SPJCT::10261649,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T15:00:27,,2023-11-03T01:42:17
STRUCTURE3FFFECECA37E48CABC1B5EB55A7D3D08,010100000054157CFB5C235AC00025196703384940,PJCT:SPJCT::10500682,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2019-06-17T10:35:19,,2023-11-03T01:42:13
STRUCTURE8B8E51BB5C7848EC997F2825A365FC72,01010000009046D45DDC235AC0C0E6F52A29384940,PJCT:SPJCT::10502284,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2019-06-17T16:02:09,,2023-11-03T01:43:28
STRUCTURE5BBFD9DADA864F79BCBB58425F476960,010100000034CFC56A29235AC0F8A57E4BF1374940,PJCT:SPJCT::10502605,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2019-06-17T17:10:24,,2023-11-03T01:42:09
STRUCTURE8FEA0B13010B4F59BBF51D544201D60C,0101000000F885D35958235AC070978E8A56384940,PJCT:SPJCT::10543596,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2019-07-22T15:37:13,,2023-11-03T01:42:18
STRUCTURE8182aa76a64d4276a890e905a07bbbef,01010000004C3D53616C235AC0701B805996374940,SPJCT:SPJCT:C217203,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:34:39
STRUCTUREe6e9999842cc48fb8da4a11c6bc3f41a,0101000000586F8C7E43235AC01893C9D956384940,SPJCT:SPJCT:C213589,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:38:25
STRUCTURE119eb0cb62db484281ae0ff1493af7b7,010100000030A1A5D27F235AC0C03BB1D585374940,SPJCT:SPJCT:C222840,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:41:19
STRUCTURE0ea1984169b54039b8c2d220b06311c1,0101000000D0E857385E235AC0D0F334EEFA374940,SPJCT:SPJCT:C213193,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:37:07
STRUCTURE11504d7ab8d54f8f9160f07e770b536e,0101000000307F8C865A235AC0D898270FFF374940,SPJCT:SPJCT:C188704,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:41:26
STRUCTURE46a46eb471a949209e67296f3c070fd5,01010000000CA0E6B134235AC08075374A3C384940,SPJCT:SPJCT:C214993,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:38:14
STRUCTURE2e56e21837224c58ab911465660687ed,0101000000F8863B7738235AC050B312F0F4374940,SPJCT:SPJCT:C214235,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:38:18
STRUCTUREe990581144cb454d98498c3e9132d28e,010100000024FD04EA29235AC028CA59D062384940,SPJCT:SPJCT:C166202,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:33:16
STRUCTURE1b5a86f0d3b3449b8216e8f1e6000ea0,010100000094F9E1FC5A235AC008514246C6374940,SPJCT:SPJCT:C216888,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:34:38
STRUCTURE7bf6accfcff845bd9e92f64bbe7aae92,01010000008CA4204F5D235AC0E8E24A6B03384940,SPJCT:SPJCT:C211701,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:33:19
STRUCTURE4e1a112c674f424e893ab32842fc399a,0101000000B8DB976173235AC0C8F02C3C8D374940,SPJCT:SPJCT:C217171,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:41:19
STRUCTURE9d1478dba32f45ee9972ce589dd9aa41,01010000006095566C81235AC0F825E68982374940,SPJCT:SPJCT:C216962,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:41:22
STRUCTURE2f59d91ff9354b0fb5fc0f953e0e4619,010100000084380BB87D235AC04893812C99374940,SPJCT:SPJCT:C217135,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:41:18
STRUCTURE039d88d9f824426a8325f7124c4e5bd0,010100000054FF6968D8235AC0883B59CF28384940,SPJCT:SPJCT:C209355,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:33:28
STRUCTURE9470203c67ea4c57b6754dcc3324b036,01010000006C4AAE9F94235AC0A890FD29DE374940,SPJCT:SPJCT:C213076,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-04-08T07:36:03
STRUCTURE430BADD4A41A465CB15341228B0D0019,0101000000140ADDC77F235AC09869C06285374940,PJCT:SPJCT::10845658,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2020-04-07T15:29:27,,2022-11-10T21:11:30
STRUCTURE6A03111B587F49F8AC78D5824584404F,01010000008CE33DBD88235AC090A1BFE487374940,PJCT:SPJCT::10797645,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2020-02-24T10:31:14,,2022-11-10T21:20:46
STRUCTURE588C1DEC79324DE1830B16EDB43880F1,01010000007027220D78235AC0F066F6AEBE374940,SPJCT:SPJCT::7082714,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-11-10T21:22:54
STRUCTURE81E2346471E04B5294CFEA32BD1CAC5E,010100000044FEBB994C235AC080089461DD374940,PJCT:SPJCT::10465514,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WILLJ2,2019-05-23T10:23:57,,2022-11-10T21:15:03
STRUCTURE4C28D516D4224C419442C20611B4A038,0101000000842DAA3699235AC0A81D1135CC374940,SPJCT:SPJCT::7203373,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-11-10T21:07:20
STRUCTURE96CE1DEBCAD74F03AC56B82B0ED2534F,0101000000C0D1CCC85D235AC0B0FD54175B374940,SPJCT:SPJCT::7203034,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,,,,2022-11-10T21:05:06
STRUCTURE83C993196B884D919A4C48F820991A61,01010000007474772BD8235AC0584AD41A29384940,PJCT:SPJCT::10261646,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2018-12-19T14:24:15,,2023-11-03T01:42:19
STRUCTURE278A41F6F05D42918CE77AF17C505D77,010100000038438D1C8B235AC0B8D798308A374940,PJCT:SPJCT::10797646,SPAN JUNCTION,IPL,,REGNSK,,REGNSK45,SASKTEL,WIESJ3,2020-02-24T10:34:39,,2024-02-16T00:16:30
STRUCTURE6C54563AC3CB4DC494825AD3666624A8,0101000000847CA47C99235AC0383837319A374940,SPJCT:SPJCT::13252702,SPAN JUNCTION,PDA,,REGNSK,,REGNSK45,SASKTEL,ROOKP2,2024-09-09T15:08:34,,2025-02-12T03:50:46
