id,location,specification,name,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,clli_code,st_clli_cd,st_uom_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_vlt_id,st_bond_to_neut_cd,st_trmnl_id,st_mh_cnfg_cd,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id,st_mh_nk_lg_qty,st_mh_lid_dia_qty,st_envmt_cd,st_rte_id,st_confined_space_designation
STRUCTURE_REG16/70085,0101000000D0AB343BA82A5AC0E0AE2DC2283A4940,,CLOSR:PLBX::11539402,PULLBOX,LOC_C6221690,IPL,,0,N/A,REGNSK,,m,REGNSK04,,2006,,,,,,,,0010,936517,,,,,
STRUCTURE_REG16/70086,01010000002C7CCD3DA72A5AC070D67096343A4940,,CLOSR:PLBX::11539403,PULLBOX,LOC_C6292552,IPL,,0,N/A,REGNSK,,m,REGNSK04,,2006,,,,,,,,0010,936517,,,,,
STRUCTURE_REG16/70123,0101000000B0553838A72A5AC0688482822D3A4940,,CLOSR:PLBX::11539404,PULLBOX,LOC_C6292553,IPL,,0,N/A,REGNSK,,m,REGNSK04,,2006,,,,,,,,0010,936517,,,,,
STRUCTURE_REG16/149641,0101000000B007F09CC1295AC0101B300B573B4940,,VAULT:MH-S:C218343,MANHOLE,LOC_C6219292,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R2A MH13,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/149806,010100000024449859E6285AC0B8EEA08BA63A4940,,VAULT:MH-S:C195227,MANHOLE,LOC_C6196513,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,SASKTEL,0,WEIGHT=KG,100819,R1D MH14,,,UNK,,,,,71.0,UG,,HAZARDOUS
STRUCTURE_REG16/149808,0101000000389991D7892A5AC098A41B96433A4940,,VAULT:MH-S:C215900,MANHOLE,LOC_C6216877,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,1975,WEIGHT=KG,100819,R2A MH21,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/151919,010100000090CA1B2D35295AC0384189A6DE3A4940,,VAULT:MH-S:C214872,MANHOLE,LOC_C6215862,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R1D MH17-1,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/151967,01010000006423702138295AC07099FC513F3B4940,,VAULT:MH-S:C214976,MANHOLE,LOC_C6215964,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R1E MH10,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/151969,01010000003C194BA7C1295AC0A8641141573A4940,,VAULT:MH-S:C214159,MANHOLE,LOC_C6215141,IPL,,0,SPST_AMANHOLES,REGNSK,REGNSKM0025,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R2A MH16,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/152158,0101000000C8C7A92EC4295AC0401BA7F86A3A4940,,VAULT:HHOLE::11371403,HANDHOLE,LOC_C6221088,IPL,,0,SPST_ACONDUIT,REGNSK,,m,REGNSK04,BH TELECOM,2020,,,,,,,,0000,807796,,,UG,,
STRUCTURE_REG16/152162,0101000000B8CC74A5C1295AC0E016CCCFF53A4940,,VAULT:MH-S:C215381,MANHOLE,LOC_C6216354,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,0,WEIGHT=KG,100819,R2A MH14,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/152210,0101000000708FEB2DC5285AC0E8DBF4673F3B4940,,VAULT:MH-S:C198970,MANHOLE,LOC_C6200206,IPL,,0,SPST_AMANHOLES,REGNSK,REGNSKM0021,m,REGNSK01,SASKTEL,1986,WEIGHT=KG,100819,R1E MH7 ,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/152240,01010000005C88C6F453295AC0E0FA00DCE0394940,,VAULT:MH-S:C193559,MANHOLE,LOC_C6194886,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,SASKTEL,1995,WEIGHT=KG,100819,R3G MH9,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/152298,0101000000F42C2182DE295AC060FAD3BD433A4940,,VAULT:MH-S:C214114,MANHOLE,LOC_C6215099,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,1975,WEIGHT=KG,100819,R2A MH17,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/152357,010100000074130D367B2B5AC0D891AD45433A4940,,VAULT:MH-S:C217764,MANHOLE,LOC_C6218724,IPL,,0,SPST_AMANHOLES,REGNSK,REGNSKM0037,m,REGNSK04,SASKTEL,1975,WEIGHT=KG,100819,R2A MH26,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/233532,010100000024E66874D82A5AC0F8231C52433A4940,,VAULT:MH-S:C217721,MANHOLE,LOC_C6218680,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,1975,WEIGHT=KG,100819,R2A 23,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/270185,01010000002C2F472FAD2A5AC050615F64E2394940,,VAULT:MH-S:C266666,MANHOLE,LOC_C6266963,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,RCMP,0,WEIGHT=KG,100819,UNK,,,UNK,,,,,,UG,,N/A
STRUCTURE_REG16/292911,010100000050DFA9B5CD295AC0D0B78BF1E0394940,,VAULT:MH-S:C193704,MANHOLE,LOC_C6195023,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK01,SASKTEL,1995,WEIGHT=KG,100819,R3G MH11-1,,,1,,,,,76.2,UG,,HAZARDOUS
STRUCTURE_REG16/332542,010100000090A29BEB5E2A5AC0109B908F433A4940,,VAULT:MH-S:C214121,MANHOLE,LOC_C6215107,IPL,,0,SPST_AMANHOLES,REGNSK,,m,REGNSK04,SASKTEL,1976,WEIGHT=KG,100819,R2A MH19,,,1,,,,,76.2,UG,,HAZARDOUS
