id,path,span_name,type_name,span_ref_name,to_structure_name,from_structure_name,inventory_status_code,ownership_type_code,work_order_name,work_order_item_number,account_code,placement_date,measured_length,st_ownr_co_nm,st_sap_stk_id,st_eas_rmks,st_co_id,st_rmks,st_vntge_yr,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd,in_structure,out_structure,conduit,cables,cable_segments
ug_routeOSP:BUSP:C383703,010500000001000000010200000014000000E85384576F865AC070C2BFA036224A405C2D9F2E70865AC0F8DC3A5336224A40E078A32E70865AC0F885313836224A402C81B22E70865AC078649EC235224A408099613670865AC0D0820976D8214A40406E1C3770865AC050D88DCACF214A402818263770865AC0E8CEFF57CF214A401C5CAE3C70865AC0588B2A5E8D214A40B4162B3F70865AC0E8CA20116F214A40FC77262F70865AC0E87B78C951214A40D4C806B670865AC078FF6CD951214A409CBF756A73865AC0C0E9612B52214A401C574111ED865AC03818488F60214A40DCD2EDC9FC865AC07812116B62214A40C02156AA04875AC0A860675963214A40688D10372A875AC0E8BABEB64E214A4024A1ADB044875AC0A01E1DBC4E214A40B0D534DBB4875AC0D828A6D04E214A406C199D17BA875AC090CF4FD14E214A40E065281CD1875AC038A72BD54E214A40,OSP:BUSP:C383703,BURIED,BURIED,SPJCT:SPJCT:C314178,SPJCT:SPJCT:C314146,ABD,OWN,,0,LACC_APLOWED_C,NaT,0.0,SASKTEL,-,,VONDSK02,,nan,,nan,BU,ug_routeOSP:BUSP:C383703_in_structure,ug_routeOSP:BUSP:C383703_out_structure,ug_routeOSP:BUSP:C383703_conduit,ug_routeOSP:BUSP:C383703_cables,ug_routeOSP:BUSP:C383703_cable_segments
ug_routeOSP:BUSP:C381326,01050000000100000001020000000500000068D6E7A4D6815AC058AE299019244A406894EB29D6815AC0D07D77CD19244A4084E4B529D6815AC068B226531B244A40A098870FD6815AC030A9CFB2C7244A4090AC728AD6815AC0E859AF0DC8244A40,OSP:BUSP:C381326,BURIED,BURIED,SPJCT:SPJCT:C312237,SPJCT:SPJCT:C312235,ABD,OWN,,0,LACC_APLOWED_C,NaT,0.0,SASKTEL,-,46M,VONDSK02,,nan,,nan,BU,ug_routeOSP:BUSP:C381326_in_structure,ug_routeOSP:BUSP:C381326_out_structure,ug_routeOSP:BUSP:C381326_conduit,ug_routeOSP:BUSP:C381326_cables,ug_routeOSP:BUSP:C381326_cable_segments
ug_routeOSP:BUSP:C383672,010500000001000000010200000007000000E85384576F865AC070C2BFA036224A40703691576F865AC09039840136224A40ACF8495F6F865AC0F897ED75D8214A400CE198656F865AC080A00E5E8D214A4064C117686F865AC0F8F831116F214A40885EA16A6F865AC04036DBDF50214A40D8FDB86A6F865AC008A92BD74F214A40,OSP:BUSP:C383672,BURIED,BURIED,SPJCT:SPJCT:C314152,SPJCT:SPJCT:C314146,ABD,OWN,,0,LACC_APLOWED_C,NaT,0.0,SASKTEL,-,,VONDSK02,,nan,,nan,BU,ug_routeOSP:BUSP:C383672_in_structure,ug_routeOSP:BUSP:C383672_out_structure,ug_routeOSP:BUSP:C383672_conduit,ug_routeOSP:BUSP:C383672_cables,ug_routeOSP:BUSP:C383672_cable_segments
ug_routeOSP:BUSP:C381459,010500000001000000010200000002000000CC32D7DE11845AC0D010D4E4BA264A40E4A5111C5F845AC0D0931B7AC8264A40,OSP:BUSP:C381459,BURIED,BURIED,SPJCT:SPJCT:C312348,PED:CPM:C312326,IPL,OWN,,0,LACC_APLOWED_C,NaT,0.0,SASKTEL,-,,VONDSK02,,nan,,nan,BU,ug_routeOSP:BUSP:C381459_in_structure,ug_routeOSP:BUSP:C381459_out_structure,ug_routeOSP:BUSP:C381459_conduit,ug_routeOSP:BUSP:C381459_cables,ug_routeOSP:BUSP:C381459_cable_segments
ug_routeOSP:BUSP:C381378,010500000001000000010200000002000000449676B1E3825AC040F640B91A254A40DC64F5F020835AC0988925C9D9254A40,OSP:BUSP:C381378,BURIED,BURIED,BUILD:BUS:C467114,PED:CPM:C312271,IPL,OWN,,0,LACC_APLOWED_C,NaT,0.0,SASKTEL,-,,VONDSK02,,nan,,nan,BU,ug_routeOSP:BUSP:C381378_in_structure,ug_routeOSP:BUSP:C381378_out_structure,ug_routeOSP:BUSP:C381378_conduit,ug_routeOSP:BUSP:C381378_cables,ug_routeOSP:BUSP:C381378_cable_segments
ug_routeOSP:BUSP:C381068,01050000000100000001020000000C000000D485C2E151865AC008605AD9A01D4A4034891E5151865AC0E8259CD6A01D4A409CA6E5F349865AC0706475B0A01D4A40C4993B074A865AC030B9F35F881D4A409C35B40B4A865AC0809F27C1821D4A40CCF4F60D4A865AC0901689D17F1D4A40388D650E4A865AC0E89A225D7F1D4A40DC349E8449865AC02022355A7F1D4A402C47435196855AC0306D7AB57B1D4A40C85B520E96855AC0D0F098B47B1D4A4048D5BFE952855AC0282272507B1D4A404C1B361351855AC0809CAF4D7B1D4A40,OSP:BUSP:C381068,BURIED,BURIED,SPJCT:SPJCT:C312045,SPJCT:SPJCT:C312043,ABD,OWN,,0,LACC_APLOWED_C,NaT,0.0,SASKTEL,-,,VONDSK02,,nan,,nan,BU,ug_routeOSP:BUSP:C381068_in_structure,ug_routeOSP:BUSP:C381068_out_structure,ug_routeOSP:BUSP:C381068_conduit,ug_routeOSP:BUSP:C381068_cables,ug_routeOSP:BUSP:C381068_cable_segments
ug_routeOSP:BUSP:C381547,01050000000100000001020000000200000010C8469C45865AC01024D535E2284A40E4F42A6F3D865AC020535054ED284A40,OSP:BUSP:C381547,BURIED,BURIED,SPJCT:SPJCT:C312415,SPJCT:SPJCT:C312412,ABD,OWN,,0,LACC_APLOWED_C,NaT,0.0,SASKTEL,-,,VONDSK02,,nan,,nan,BU,ug_routeOSP:BUSP:C381547_in_structure,ug_routeOSP:BUSP:C381547_out_structure,ug_routeOSP:BUSP:C381547_conduit,ug_routeOSP:BUSP:C381547_cables,ug_routeOSP:BUSP:C381547_cable_segments
ug_routeOSP:FBSP:C380511,0105000000010000000102000000020000008090C1C4BE855AC05031B6F947294A40883AF48FBE855AC0384AB35355294A40,OSP:FBSP:C380511,FOREIGN BURIED,BURIED FOREIGN,SPJCT:SPJCT:C311538,SPJCT:SPJCT:C311525,IPL,LEASED IN,,0,,NaT,0.0,SASKPOWER,,,VONDSK02,,nan,,nan,BU,ug_routeOSP:FBSP:C380511_in_structure,ug_routeOSP:FBSP:C380511_out_structure,ug_routeOSP:FBSP:C380511_conduit,ug_routeOSP:FBSP:C380511_cables,ug_routeOSP:FBSP:C380511_cable_segments
ug_routeOSP:BUSP:C381562,0105000000010000000102000000030000001C303FD228865AC0A86F6EC0E5284A40A8F6726A0A865AC088E6FADEE9284A40E4B603C909865AC0D8DE00D0F4284A40,OSP:BUSP:C381562,BURIED,BURIED,SPJCT:SPJCT:C312431,SPJCT:SPJCT:C312428,ABD,OWN,,0,LACC_APLOWED_C,NaT,0.0,SASKTEL,-,,VONDSK02,,nan,,nan,BU,ug_routeOSP:BUSP:C381562_in_structure,ug_routeOSP:BUSP:C381562_out_structure,ug_routeOSP:BUSP:C381562_conduit,ug_routeOSP:BUSP:C381562_cables,ug_routeOSP:BUSP:C381562_cable_segments
ug_routeOSP:BUSP:C381550,010500000001000000010200000002000000D00C62CD2C865AC01057A7CDEF284A40F87ED29F29865AC0606BA8EBE5284A40,OSP:BUSP:C381550,BURIED,BURIED,SPJCT:SPJCT:C312418,SPJCT:SPJCT:C312416,ABD,OWN,,0,LACC_APLOWED_C,NaT,0.0,SASKTEL,-,,VONDSK02,,nan,,nan,BU,ug_routeOSP:BUSP:C381550_in_structure,ug_routeOSP:BUSP:C381550_out_structure,ug_routeOSP:BUSP:C381550_conduit,ug_routeOSP:BUSP:C381550_cables,ug_routeOSP:BUSP:C381550_cable_segments
